127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/default/index, HTTP/1.1, 200, 0.193628
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/ContentFlow/contentflow_src.js, HTTP/1.1, 200, 0.003627
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/calendar.css, HTTP/1.1, 200, 0.002623
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/jquery.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/calendar.js, HTTP/1.1, 200, 0.002242
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/jquery-ui.js, HTTP/1.1, 200, 0.004067
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/jquery-ui.css, HTTP/1.1, 200, 0.003595
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/jquery.contextmenu.css, HTTP/1.1, 200, 0.000510
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/jquery.contextmenu.js, HTTP/1.1, 200, 0.001327
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/jquery-ui.sonos.css, HTTP/1.1, 200, 0.000958
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/jquery.sizes.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/photogallery.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/base.css, HTTP/1.1, 200, 0.002035
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/ContentFlow/contentflow.css, HTTP/1.1, 200, 0.001588
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/sonoslayoutpc.css, HTTP/1.1, 200, 0.000717
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/ContentFlow/mycontentflow.css, HTTP/1.1, 200, 0.001466
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/ContentFlow/ContentFlowAddOn_sonos.js, HTTP/1.1, 200, 0.001250
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/sonos.css, HTTP/1.1, 200, 0.004810
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/art/blank.gif, HTTP/1.1, 200, 0.004238
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/pw.png, HTTP/1.1, 200, 0.002486
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/tjstop.png, HTTP/1.1, 200, 0.004033
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/tjmute.png, HTTP/1.1, 200, 0.002629
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/background.gif, HTTP/1.1, 200, 0.002313
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/tjplay.png, HTTP/1.1, 200, 0.002958
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/tjprevious.png, HTTP/1.1, 200, 0.001366
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/tjnext.png, HTTP/1.1, 200, 0.000964
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/images/ui-bg_highlight-soft_100_deedf7_1x100.png, HTTP/1.1, 200, 0.002661
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/images/ui-bg_glass_80_d7ebf9_1x400.png, HTTP/1.1, 200, 0.001883
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png, HTTP/1.1, 200, 0.001518
127.0.0.1, 2011-09-20 12:06:04, GET, /sonospy/static/images/ui-icons_72a7cf_256x240.png, HTTP/1.1, 200, 0.002321
127.0.0.1, 2011-09-20 12:06:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2011-09-20 12:06:12, GET, /sonospy/default/user/login, HTTP/1.1, 500, 0.032704
127.0.0.1, 2011-09-20 12:06:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2011-09-20 12:06:14, GET, /sonospy/default/index, HTTP/1.1, 200, 0.052873
127.0.0.1, 2011-09-20 12:06:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2011-09-20 12:06:16, GET, /sonospy/default/user/register, HTTP/1.1, 500, 0.032906
127.0.0.1, 2011-09-20 12:06:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2011-09-20 12:06:19, GET, /sonospy/default/index, HTTP/1.1, 200, 0.054645
127.0.0.1, 2011-09-20 12:06:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2011-09-20 12:06:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001280
127.0.0.1, 2011-09-20 12:06:21, GET, /sonospy/default/call/json/JSONgallery, HTTP/1.1, 200, 0.022550
127.0.0.1, 2011-09-20 12:06:50, GET, /sonospy/static/tjnexto.png, HTTP/1.1, 200, 0.000508
127.0.0.1, 2011-09-20 12:06:50, GET, /sonospy/static/tjplayo.png, HTTP/1.1, 200, 0.000419
127.0.0.1, 2011-09-20 12:06:53, GET, /sonospy/default/index, HTTP/1.1, 200, 0.053879
127.0.0.1, 2011-09-20 12:06:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000405
127.0.0.1, 2011-09-20 12:06:55, GET, /sonospy/static/tjstopo.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2011-09-20 12:06:55, GET, /sonospy/static/tjmuteo.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2011-09-20 12:06:56, GET, /sonospy/static/tjpause.png, HTTP/1.1, 200, 0.001356
127.0.0.1, 2011-09-20 12:06:56, POST, /sonospy/default/controlrenderer, HTTP/1.1, 500, 0.046323
127.0.0.1, 2011-09-20 12:06:56, GET, /sonospy/static/tjpreviouso.png, HTTP/1.1, 200, 0.000535
127.0.0.1, 2011-09-20 12:06:57, GET, /sonospy/static/images/ui-bg_glass_100_e4f1fb_1x400.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2011-09-20 12:06:57, GET, /sonospy/static/images/ui-bg_glass_50_3baae3_1x400.png, HTTP/1.1, 200, 0.000453
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/default/index, HTTP/1.1, 200, 0.062857
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/calendar.css, HTTP/1.1, 304, 0.001360
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/jquery-ui.css, HTTP/1.1, 304, 0.001515
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/jquery.js, HTTP/1.1, 304, 0.001458
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/calendar.js, HTTP/1.1, 304, 0.001008
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/ContentFlow/contentflow_src.js, HTTP/1.1, 304, 0.005818
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/jquery-ui.js, HTTP/1.1, 304, 0.001493
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/jquery.contextmenu.css, HTTP/1.1, 304, 0.001882
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/jquery.sizes.js, HTTP/1.1, 304, 0.000772
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/jquery.contextmenu.js, HTTP/1.1, 304, 0.003104
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/jquery-ui.sonos.css, HTTP/1.1, 304, 0.001891
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/photogallery.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/ContentFlow/contentflow.css, HTTP/1.1, 304, 0.001933
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/ContentFlow/ContentFlowAddOn_sonos.js, HTTP/1.1, 304, 0.001768
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/base.css, HTTP/1.1, 304, 0.003546
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/ContentFlow/mycontentflow.css, HTTP/1.1, 304, 0.004074
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/sonos.css, HTTP/1.1, 304, 0.002340
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/sonoslayoutpc.css, HTTP/1.1, 304, 0.001280
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/tjmute.png, HTTP/1.1, 304, 0.002743
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/art/blank.gif, HTTP/1.1, 304, 0.001259
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/tjplay.png, HTTP/1.1, 304, 0.001262
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/pw.png, HTTP/1.1, 304, 0.001968
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/tjstop.png, HTTP/1.1, 304, 0.002558
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/tjnext.png, HTTP/1.1, 304, 0.001156
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/tjprevious.png, HTTP/1.1, 304, 0.002197
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/background.gif, HTTP/1.1, 304, 0.007846
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/images/ui-bg_highlight-soft_100_deedf7_1x100.png, HTTP/1.1, 304, 0.002105
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png, HTTP/1.1, 304, 0.000915
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/images/ui-icons_72a7cf_256x240.png, HTTP/1.1, 304, 0.000484
127.0.0.1, 2011-09-20 12:07:46, GET, /sonospy/static/images/ui-bg_glass_80_d7ebf9_1x400.png, HTTP/1.1, 304, 0.001198
127.0.0.1, 2011-09-20 12:07:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/default/index, HTTP/1.1, 200, 0.053978
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/jquery-ui.js, HTTP/1.1, 304, 0.003414
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/calendar.js, HTTP/1.1, 304, 0.001677
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/calendar.css, HTTP/1.1, 304, 0.002579
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/jquery.js, HTTP/1.1, 304, 0.004050
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/jquery-ui.css, HTTP/1.1, 304, 0.001999
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/ContentFlow/contentflow_src.js, HTTP/1.1, 304, 0.007305
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/jquery.contextmenu.js, HTTP/1.1, 304, 0.002009
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/jquery.contextmenu.css, HTTP/1.1, 304, 0.002363
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/jquery-ui.sonos.css, HTTP/1.1, 304, 0.001754
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/photogallery.js, HTTP/1.1, 304, 0.001254
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/jquery.sizes.js, HTTP/1.1, 304, 0.001443
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/base.css, HTTP/1.1, 304, 0.000915
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/sonos.css, HTTP/1.1, 304, 0.000814
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/sonoslayoutpc.css, HTTP/1.1, 304, 0.001636
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/ContentFlow/contentflow.css, HTTP/1.1, 304, 0.002619
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/ContentFlow/ContentFlowAddOn_sonos.js, HTTP/1.1, 304, 0.001349
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/ContentFlow/mycontentflow.css, HTTP/1.1, 304, 0.002121
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/background.gif, HTTP/1.1, 304, 0.004151
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/pw.png, HTTP/1.1, 304, 0.003626
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/art/blank.gif, HTTP/1.1, 304, 0.003541
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/tjstop.png, HTTP/1.1, 304, 0.001744
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/tjmute.png, HTTP/1.1, 304, 0.001996
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/tjplay.png, HTTP/1.1, 304, 0.002654
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/images/ui-bg_highlight-soft_100_deedf7_1x100.png, HTTP/1.1, 304, 0.003190
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/tjprevious.png, HTTP/1.1, 304, 0.003055
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/images/ui-icons_72a7cf_256x240.png, HTTP/1.1, 304, 0.001639
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png, HTTP/1.1, 304, 0.002967
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/tjnext.png, HTTP/1.1, 304, 0.002666
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/static/images/ui-bg_glass_80_d7ebf9_1x400.png, HTTP/1.1, 304, 0.001600
127.0.0.1, 2011-09-20 12:07:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2011-09-20 12:07:48, GET, /sonospy/default/index, HTTP/1.1, 200, 0.054780
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/calendar.js, HTTP/1.1, 304, 0.001912
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery-ui.js, HTTP/1.1, 304, 0.002117
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery.js, HTTP/1.1, 304, 0.003905
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/ContentFlow/contentflow_src.js, HTTP/1.1, 304, 0.005012
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/calendar.css, HTTP/1.1, 304, 0.000949
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery-ui.css, HTTP/1.1, 304, 0.002359
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery.sizes.js, HTTP/1.1, 304, 0.002221
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery.contextmenu.css, HTTP/1.1, 304, 0.002463
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery.contextmenu.js, HTTP/1.1, 304, 0.002684
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery-ui.sonos.css, HTTP/1.1, 304, 0.003300
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/base.css, HTTP/1.1, 304, 0.001125
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/photogallery.js, HTTP/1.1, 304, 0.005015
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/sonos.css, HTTP/1.1, 304, 0.002431
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/ContentFlow/contentflow.css, HTTP/1.1, 304, 0.001801
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/ContentFlow/mycontentflow.css, HTTP/1.1, 304, 0.000684
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/ContentFlow/ContentFlowAddOn_sonos.js, HTTP/1.1, 304, 0.000985
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/sonoslayoutpc.css, HTTP/1.1, 304, 0.003523
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/background.gif, HTTP/1.1, 304, 0.002929
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/tjplay.png, HTTP/1.1, 304, 0.001507
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/tjstop.png, HTTP/1.1, 304, 0.000611
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/art/blank.gif, HTTP/1.1, 304, 0.000753
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/tjmute.png, HTTP/1.1, 304, 0.004417
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/tjprevious.png, HTTP/1.1, 304, 0.001266
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/pw.png, HTTP/1.1, 304, 0.005406
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png, HTTP/1.1, 304, 0.001627
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/tjnext.png, HTTP/1.1, 304, 0.003907
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/images/ui-icons_72a7cf_256x240.png, HTTP/1.1, 304, 0.003033
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/images/ui-bg_highlight-soft_100_deedf7_1x100.png, HTTP/1.1, 304, 0.001275
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/images/ui-bg_glass_80_d7ebf9_1x400.png, HTTP/1.1, 304, 0.001520
127.0.0.1, 2011-09-20 12:07:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/default/index, HTTP/1.1, 200, 0.055226
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/calendar.css, HTTP/1.1, 304, 0.002693
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/ContentFlow/contentflow_src.js, HTTP/1.1, 304, 0.004639
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/jquery-ui.js, HTTP/1.1, 304, 0.002932
127.0.0.1, 2011-09-20 12:07:49, GET, /sonospy/static/calendar.js, HTTP/1.1, 304, 0.002757
